inventory_version,path,caller_or_route,operation,description_input_contract,can_attest_source,unattested_source,guard_error_contract,test_path,file_sha256
1,apps/web/src/schemas/products.ts,web create/update route schemas,description contract,create/update description schema,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/schemas/products.test.ts,ce02c458edf20d90f7ea395df926473542406addca46e917912ef7ae66f17b5f
1,apps/web/src/app/dashboard/products/add/add-product-form.tsx,add/edit form; AI result -> submitted product,AI persistence caller,form description including generated text,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/dashboard/products/add/add-product-form.test.tsx,1742d39c6f45ffb1db3051252a1348018e9de681ea02d831e1ad79ff920bdd7f
1,apps/web/src/app/api/products/route.ts,add form -> POST /api/products,insert public.products.description,createProductSchema description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/products/route.test.ts,333c0f88c0e935d9b9b7596db207732d0e59a1ff953dea92ef6a2e84ab060584
1,apps/web/src/app/api/products/create-product.ts,POST /api/products handler,insert public.products.description,createProductSchema description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/products/create-product.test.ts,a3f477c37f68e72ed054c1eeef785c5f9cf8c15db620b826e602339d36e8174f
1,apps/web/src/app/api/products/[id]/route.ts,edit form -> PUT /api/products/[id],update public.products.description,updateProductSchema description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/products/[id]/route.test.ts,bbf6b4b564e4d9bf1c085d8139450ed7340fa94f008b5d6a00f9f08502d71e83
1,apps/web/src/components/products/csv-bulk-import-dialog.tsx,CSV dialog -> multipart import route,CSV persistence caller,CSV description column,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/components/products/csv-bulk-import-dialog.test.tsx,ebcf3dfa786f49243b6fa7a64caa451ebaea4097529b26394e26cf05da48fe4d
1,apps/web/src/app/api/products/bulk-import/route.ts,CSV dialog -> bulk import route,insert public.products.description,optional CSV description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/products/bulk-import/route.test.ts,15d0d8675b95a5292cbf49df78311c96ab9f6423a5102fea9cca23ba0ff2274f
1,apps/web/src/components/products/review-changes.tsx,review UI -> product context,bulk-update persistence caller,BulkUpdateChange description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/components/products/review-changes.test.tsx,c6e4a42e07025b9b65a3ff33eb2e0c4732e5814270b0597051ab25573428b93b
1,apps/web/src/contexts/product-context.tsx,review UI -> bulk-update route,bulk-update persistence caller,product change description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/contexts/product-context.test.tsx,3e47398edc8a6109058d847bef93392f3950f25fd446e3c95601d1ff7dcb5743
1,apps/web/src/app/api/products/bulk-update/route.ts,product context -> bulk processor,bulk-update route caller,validated change description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/products/bulk-update/route.test.ts,0e71cbf869330b065bfe2909e7b0d213d9af247495a810e8f6fae4b4080ca1ef
